timestamp,label,src_mac,dst_mac,src_mac_oui,dst_mac_oui,vlan_tag,src_ip,dst_ip,ip_version,ttl,ip_flags,fragment_offset,packet_length,protocol,src_port,dst_port,tcp_flags,seq_number,ack_number,window_size,tcp_checksum,urgent_pointer,udp_length,udp_checksum,payload_size,payload_entropy,payload_printable,dns_query,dns_query_length,dns_response,dns_rcode,http_method,http_host,http_path,http_user_agent,http_status_code,tls_detected,arp_op,arp_src_ip,arp_dst_ip,arp_src_mac
2026-05-03T18:07:02.782301+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20821,RA,0,29111950,0,36978,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:02.852687+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20825,RA,0,1602496478,0,16726,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:02.929103+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20829,RA,0,959537469,0,11846,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:02.958912+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20832,RA,0,754734160,0,18277,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:03.020722+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20859,80,S,78589891,1009796527,512,4183,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:03.117771+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20840,RA,0,1436590945,0,53159,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:03.182696+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20846,RA,0,66435883,0,2435,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:03.250693+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20847,RA,0,720115783,0,34159,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:03.289964+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20873,80,S,648482898,272529845,512,1454,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:03.374570+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20848,RA,0,137455207,0,23049,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:03.439477+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20849,RA,0,112267183,0,45632,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:03.526204+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20874,80,S,199242332,1147308492,512,47662,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:03.576876+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20850,RA,0,1977086777,0,24462,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:03.637797+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20875,80,S,1147240184,40757506,512,6095,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:03.684868+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20888,80,S,1803158874,548291219,512,62069,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:03.741019+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20889,80,S,1778482258,1476714459,512,43094,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:03.806863+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20891,80,S,1588080495,27211144,512,330,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:03.883959+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20896,80,S,539782438,434307225,512,7861,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:03.986529+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20872,RA,0,865152485,0,26387,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:04.039638+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20900,80,S,1900752860,73167904,512,44251,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:04.138548+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20876,RA,0,2068760511,0,34167,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:04.192501+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20905,80,S,898715651,1600686540,512,22449,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:04.321855+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20882,RA,0,487118877,0,54105,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:04.382994+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20909,80,S,2002200059,14017615,512,17407,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:04.504046+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20883,RA,0,333094988,0,5208,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:04.561060+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20915,80,S,137196659,1364887460,512,28881,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:04.754456+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20889,RA,0,1778482259,0,57891,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:04.796003+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20916,80,S,998225810,265780382,512,18152,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:04.959831+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20896,RA,0,539782439,0,15134,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:05.052595+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20923,80,S,816585634,1959076141,512,58407,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:05.142313+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20899,RA,0,1404971315,0,19325,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:05.247545+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20926,80,S,714028891,2057480974,512,16074,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:05.328155+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20904,RA,0,36488826,0,65474,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:05.401506+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20905,RA,0,898715652,0,17107,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:05.457754+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20910,RA,0,1329560465,0,64914,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:05.503666+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20934,80,S,1613647581,1961946571,512,46229,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:05.621508+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20911,RA,0,248486319,0,8164,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:05.664610+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20935,80,S,1502496898,1584525101,512,54956,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:05.723242+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20918,RA,0,2049535539,0,57342,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:05.801465+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20922,RA,0,1473096295,0,50722,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:05.851703+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20948,80,S,3827763,1189190144,512,32000,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:05.889677+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20923,RA,0,816585635,0,31751,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:05.927673+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20952,80,S,725066674,1400016673,512,5326,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:06.101589+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20928,RA,0,1588930663,0,16693,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:06.166628+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20932,RA,0,1050491905,0,19887,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:06.235607+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20933,RA,0,43486427,0,14554,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:06.330719+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20962,80,S,1542007985,1875189780,512,44493,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:06.394580+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20941,RA,0,2079952809,0,48289,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:06.442018+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20966,80,S,1985425823,1009057396,512,58285,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:06.540838+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20970,80,S,1406521366,1676719780,512,34744,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:06.633920+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20947,RA,0,1045499449,0,31668,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:06.686788+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20975,80,S,1505171937,1883414370,512,17143,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:06.868541+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20979,80,S,402433607,2809635,512,10399,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:06.949703+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20952,RA,0,725066675,0,63822,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:07.006565+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20982,80,S,1017198525,1231227774,512,64749,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:07.073804+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20986,80,S,221260103,1045599875,512,47836,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:07.162155+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20987,80,S,610814292,992833055,512,44831,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:07.266390+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20961,RA,0,377038951,0,35152,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:07.332656+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20990,80,S,293073984,814206366,512,49735,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:07.478088+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,20994,80,S,1225499890,219496404,512,35642,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:07.617003+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20970,RA,0,1406521367,0,42042,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:07.682133+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20971,RA,0,1464550675,0,11208,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:07.728149+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,21000,80,S,1399202803,772599947,512,12330,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:07.785565+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20975,RA,0,1505171938,0,21641,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:07.826357+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,21001,80,S,1603279225,1863060327,512,53917,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:07.914688+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,21002,80,S,386270027,1509698536,512,9700,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:07.979509+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,21003,80,S,400488603,1160797644,512,4770,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:08.121141+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,21013,80,S,493771485,136138888,512,62749,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:08.234729+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20985,RA,0,840763310,0,36429,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:08.279702+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20989,RA,0,1172407369,0,65001,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:08.346608+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,DF,0,60,TCP,80,20991,RA,0,1090460380,0,27703,0,,,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T18:07:08.395602+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,,0,60,TCP,21019,80,S,1834038417,1807267857,512,92,0,,,0,0.0,False,,,,,,,,,,False,,,,
